State Code,County Code,Site Number,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2007-10-22,Parts per billion,0.541667,2.0,6,2,Parts per million,0.035167,0.048,9,41,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.2,0.2,0,2.0
36,81,97,56TH AVE AT SPRINGFIELD BLVD,New York,Queens,New York,2001-07-11,Parts per billion,27.916667,52.0,0,49,Parts per million,0.025333,0.041,12,35,Parts per billion,5.041667,18.0,11,26.0,Parts per million,0.429167,0.5,2,6.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2014-07-28,Parts per billion,4.145833,11.3,22,10,Parts per million,0.029333,0.042,9,39,Parts per billion,0.652174,0.8,12,0.0,Parts per million,0.2375,0.3,0,3.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2013-01-12,Parts per billion,7.770833,23.2,9,22,Parts per million,0.014917,0.022,23,20,Parts per billion,0.8875,1.2,0,1.0,Parts per million,1.083333,1.2,0,14.0
6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2002-01-27,Parts per billion,0.26087,1.0,5,1,Parts per million,0.033458,0.037,9,31,Parts per billion,0.130435,1.0,20,1.0,Parts per million,0.2,0.2,0,2.0
39,35,60,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,2013-03-28,Parts per billion,21.086957,40.0,22,38,Parts per million,0.0235,0.03,10,25,Parts per billion,13.913043,36.0,1,51.0,Parts per million,0.2125,0.3,21,3.0
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2006-10-29,Parts per billion,26.583333,46.0,18,43,Parts per million,0.012458,0.026,9,22,Parts per billion,1.375,2.0,0,3.0,Parts per million,0.908333,1.8,1,20.0
6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,2009-01-05,Parts per billion,18.409091,28.0,7,26,Parts per million,0.007958,0.012,16,10,Parts per billion,1.045455,2.0,9,3.0,Parts per million,0.379167,0.5,7,6.0
51,59,5,CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,Virginia,Fairfax,Not in a city,2007-03-16,Parts per billion,11.958333,21.0,7,20,Parts per million,0.018125,0.028,21,24,Parts per billion,4.666667,34.0,17,49.0,Parts per million,0.266667,0.3,8,3.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2010-05-31,Parts per billion,11.375,30.0,22,28,Parts per million,0.026583,0.051,9,43,Parts per billion,1.416667,2.0,0,3.0,Parts per million,0.404167,0.5,1,6.0
44,7,1010,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,2014-02-03,Parts per billion,10.886957,17.2,23,16,Parts per million,0.023333,0.029,9,27,Parts per billion,1.131818,1.9,5,1.0,Parts per million,0.270833,0.3,0,3.0
4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,2010-02-05,Parts per billion,15.541667,40.0,20,38,Parts per million,0.019167,0.039,11,33,Parts per billion,1.5,3.0,10,4.0,Parts per million,0.325,0.5,0,6.0
6,71,2002,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,2011-08-10,Parts per billion,17.866667,24.8,1,23,Parts per million,0.030375,0.06,11,51,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.2375,0.3,7,3.0
6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2008-05-12,Parts per billion,4.73913,10.0,6,9,Parts per million,0.044167,0.053,9,45,Parts per billion,0.045455,1.0,18,1.0,Parts per million,0.3,0.3,0,3.0
42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2013-08-27,Parts per billion,8.478261,32.0,22,30,Parts per million,0.029583,0.052,10,48,Parts per billion,0.695652,2.0,4,3.0,Parts per million,0.016667,0.2,23,2.0
36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,2014-01-20,Parts per billion,21.55,31.8,8,29,Parts per million,0.016083,0.027,22,25,Parts per billion,3.191667,10.2,7,14.0,Parts per million,0.241667,0.3,8,3.0
13,89,2,"2390-B Wildcat Road, Decatur GA 30034",Georgia,DeKalb,Not in a city,2012-04-30,Parts per billion,15.695238,35.0,22,33,Parts per million,0.024917,0.056,9,47,Parts per billion,0.680952,2.0,12,3.0,Parts per million,0.466667,0.7,6,8.0
9,3,1003,Remington Road (see coordinates),Connecticut,Hartford,East Hartford,2011-07-07,Parts per billion,7.541667,15.0,6,14,Parts per million,0.026458,0.048,9,41,Parts per billion,0.1125,0.5,6,0.0,Parts per million,0.2,0.2,0,2.0
6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,2004-05-26,Parts per billion,20.652174,37.0,5,35,Parts per million,0.032333,0.052,9,44,Parts per billion,0.217391,1.0,0,1.0,Parts per million,0.3375,0.4,5,5.0
45,19,46,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],South Carolina,Charleston,Not in a city,2006-06-06,Parts per billion,1.833333,4.0,19,4,Parts per million,0.039375,0.053,10,45,Parts per billion,0.583333,2.0,7,3.0,Parts per million,0.170833,0.2,0,2.0
12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,2010-11-25,Parts per billion,3.875,10.0,0,9,Parts per million,0.025542,0.039,9,33,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.354167,0.4,0,5.0
18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),2002-08-17,Parts per billion,9.208333,19.0,20,18,Parts per million,0.029333,0.043,12,36,Parts per billion,8.869565,30.0,19,43.0,Parts per million,0.383333,0.5,21,6.0
6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2004-05-05,Parts per billion,3.391304,9.0,5,8,Parts per million,0.035542,0.039,9,33,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.266667,0.3,8,3.0
17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,2012-11-20,Parts per billion,29.142857,38.0,17,36,Parts per million,0.007083,0.018,9,15,Parts per billion,0.545455,2.0,16,3.0,Parts per million,0.4875,0.7,0,8.0
42,3,8,"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",Pennsylvania,Allegheny,Pittsburgh,2014-03-29,Parts per billion,9.516667,18.0,10,17,Parts per million,0.018875,0.033,23,31,Parts per billion,2.078261,10.0,12,14.0,Parts per million,0.2,0.2,0,2.0
20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,2000-07-06,Parts per billion,1.875,4.0,22,4,Parts per million,0.033958,0.055,10,47,Parts per billion,0.291667,1.0,0,1.0,Parts per million,0.658333,0.7,0,8.0
6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,2015-04-28,Parts per billion,5.86,10.9,20,9,Parts per million,0.025833,0.03,23,28,Parts per billion,0.714286,1.2,19,1.0,Parts per million,0.25,0.3,5,3.0
6,111,3001,"545 CENTRAL AVENUE, OXNARD, CA  93030",California,Ventura,Not in a city,2003-12-12,Parts per billion,18.863636,40.0,17,38,Parts per million,0.00975,0.022,9,19,Parts per billion,0.0,0.0,2,0.0,Parts per million,0.541667,0.8,18,9.0
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2001-08-15,Parts per billion,10.875,22.0,7,21,Parts per million,0.033417,0.044,10,37,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.2625,0.4,22,5.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2011-01-07,Parts per billion,8.2125,25.1,7,24,Parts per million,0.030167,0.036,10,31,Parts per billion,0.820833,1.7,10,1.0,Parts per million,0.295833,0.5,7,6.0
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2013-04-23,Parts per billion,8.629167,20.5,7,19,Parts per million,0.038625,0.043,8,40,Parts per billion,0.295833,0.6,9,0.0,Parts per million,0.1,0.1,0,1.0
6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,2000-05-15,Parts per billion,11.695652,19.0,5,18,Parts per million,0.022292,0.027,8,23,Parts per billion,2.304348,3.0,4,4.0,Parts per million,0.6875,0.8,9,9.0
42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,2004-07-04,Parts per billion,9.5,23.0,4,22,Parts per million,0.032958,0.043,9,36,Parts per billion,13.875,37.0,16,52.0,Parts per million,0.320833,0.5,0,6.0
23,5,29,"356 State Street, Portland,  Maine",Maine,Cumberland,Portland,2016-01-27,Parts per billion,8.170833,33.6,22,31,Parts per million,0.018083,0.025,12,23,Parts per billion,0.325,1.5,22,1.0,Parts per million,0.3125,0.4,0,5.0
6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,2010-12-12,Parts per billion,28.5,41.0,18,39,Parts per million,0.007083,0.02,10,17,Parts per billion,0.227273,2.0,11,3.0,Parts per million,1.208333,2.0,3,23.0
42,49,3,10TH AND MARNE STREETS,Pennsylvania,Erie,Erie,2013-11-22,Parts per billion,7.916667,19.0,7,18,Parts per million,0.01525,0.031,21,29,Parts per billion,1.875,3.0,5,4.0,Parts per million,0.0,0.0,0,0.0
48,201,1035,9525 1/2 Clinton Dr,Texas,Harris,Houston,2006-04-10,Parts per billion,16.541667,39.0,7,37,Parts per million,0.030208,0.048,10,41,Parts per billion,3.25,9.0,8,13.0,Parts per million,0.275,0.5,6,6.0
42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,2005-05-08,Parts per billion,12.583333,29.0,23,27,Parts per million,0.038958,0.051,7,43,Parts per billion,1.5,3.0,4,4.0,Parts per million,0.425,0.5,0,6.0
56,41,101,Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,Wyoming,Uinta,Not in a city,2008-02-11,Parts per billion,1.086957,2.0,0,2,Parts per million,0.042625,0.046,12,39,Parts per billion,1.321739,1.5,5,1.0,Parts per million,0.0,0.0,0,0.0
35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,2011-10-21,Parts per billion,24.808333,38.4,21,36,Parts per million,0.019042,0.039,11,33,Parts per billion,1.345833,2.5,7,3.0,Parts per million,0.320833,0.5,9,6.0
6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,2011-03-26,Parts per billion,5.995652,24.1,23,23,Parts per million,0.03675,0.049,10,42,Parts per billion,2.531818,3.4,11,4.0,Parts per million,0.329167,0.4,9,5.0
17,31,4201,750 DUNDEE ROAD,Illinois,Cook,Northbrook,2007-07-06,Parts per billion,11.041667,29.0,23,27,Parts per million,0.02525,0.042,9,36,Parts per billion,0.333333,2.0,13,3.0,Parts per million,0.308333,0.4,22,5.0
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2002-04-09,Parts per billion,19.625,38.0,1,36,Parts per million,0.0365,0.057,10,48,Parts per billion,0.708333,2.0,7,3.0,Parts per million,0.408333,0.5,8,6.0
6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2007-09-24,Parts per billion,5.826087,14.0,19,13,Parts per million,0.023125,0.041,10,35,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.291667,0.3,2,3.0
40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,2006-09-17,Parts per billion,3.73913,6.0,17,6,Parts per million,0.017167,0.026,0,22,Parts per billion,0.26087,1.0,0,1.0,Parts per million,0.0,0.0,0,0.0
42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,2010-05-15,Parts per billion,7.833333,25.0,5,24,Parts per million,0.040792,0.05,10,42,Parts per billion,3.041667,6.0,9,9.0,Parts per million,0.4,0.4,0,5.0
48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,2005-06-27,Parts per billion,5.666667,13.0,20,12,Parts per million,0.04225,0.064,11,64,Parts per billion,0.583333,2.0,3,3.0,Parts per million,0.220833,0.3,19,3.0
